Tipo;Entidade;Número;Data;Sumário;Link;;

Regulamento;CE, EURATOM;1150/2000;2000/22/05;"Regulamento (CE, EURATOM) 1150/2000 do Conselho, relativo à aplicação da Decisão 94/728/CE;EURATOM relativa ao sistema de recursos próprios das
Comunidades.";http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32000R1150&from=FR;;

DL;;5/2000;2000/29/01;Altera o Decreto-Lei n.º 411/98, de 30 de Dezembro, que estabelece o regime jurídico da remoção, transporte, inumação, exumação, trasladação e cremação de cadáveres, bem como de alguns desses actos relativos a ossadas, cinzas, fetos mortos e peças anatómicas, e ainda da mudança de localização de um cemitério;https://dre.pt/application/file/a/405988;;

DL;;28/2000;2000/13/03;Simplificação na certificação de atos, admitindo formas alternativas de atribuição de valor probatório a documentos.;http://dre.pt/pdf1sdip/2000/03/061A00/09090909.pdf;;

DL;;29/2000;2000/13/03;Simplificação na certificação de atos, admitindo formas alternativas de atribuição de valor probatório a documentos.;http://dre.pt/pdf1sdip/2000/03/061A00/09090909.pdf;;

DL;;30/2000;2000/13/03;Prevê que a instrução de actos e processos dos registos e do notariado possa ser efectuada com fotocópia de documento autêntico ou autenticado, desde que conferida com o original ou documento autenticado exibido perante o funcionário que o receba;https://dre.pt/application/file/410865;;

DL;;83/2000;2000/11/05;Aprova o novo regime legal da concessão e emissão dos passaportes;https://dre.pt/application/file/275333;;

DL;;86/2000;2000/12/05;Aprova o regime legal que regulamenta a base de dados de emissão dos passaportes;https://dre.pt/application/file/275145;;

DL;;70-A/2000;2000/05/05;Estabelece as normas de execução do Orçamento do Estado para 2000;https://dre.pt/application/file/a/510303;;

DL;;138/2000;2000/13/07;Altera o Decreto-Lei n.º 5/2000, de 29 de Janeiro, que dá nova redacção ao Decreto-Lei n.º 411/98, de 30 de Dezembro, que estabelece o regime jurídico da remoção, transporte, inumação, exumação, transladação e cremação de cadáveres, bem como de alguns desses actos relativos a ossadas, cinzas, fetos mortos e peças anatómicas, e ainda da mudança de localização de um cemitério;https://dre.pt/application/file/a/320013;;

DL;;151-A/2000;2000/20/07;Estabelece o regime aplicável ao licenciamento de redes e estações de radiocomunicações e à fiscalização da instalação das referidas estações e da utilização do espectro radioeléctrico, bem como a definição dos princípios aplicáveis às taxas radioeléctricas, à protecção da exposição a radiações electromagnéticas e à partilha de infra-estruturas de radiocomunicações;https://dre.pt/application/file/a/514336;;

DL;;162/2000;2000/21/07;Altera os artigos 4.º e 6.º do Decreto-Lei n.º 366-A/97, de 20 de Dezembro, que estabelece os princípios e as normas aplicáveis ao sistema de gestão de embalagens e resíduos de embalagens;https://dre.pt/application/file/a/314504;;

DL;;192/2000;2000/18/08;Aprova o regime de livre circulação, colocação no mercado e colocação em seviço no território nacional dos equipamentos de rádio e equipamentos terminais de telecomunicações, bem como o regime da respetiva avaliação de conformidade e marcação, transpondo para a ordem jurídica interna a Diretiva n.º 1999/5/CE, do Parlamento Europeu e do Conselho, de 9 de Março;https://dre.pt/application/file/325048;;

DL;;241/2000;2000/26/09;Altera o Decreto-Lei n.º 505/99, de 20 de Novembro, que aprova o regime jurídico de licenciamento das unidades privadas de diálise;https://dre.pt/application/file/560302;;

DL;;252/2000;2000/16/10;Aprova a estrutura orgânica e define as atribuições do Serviço de Estrangeiros e Fronteiras;https://dre.pt/application/file/541741;;

DL;;272/2000;2000/08/11;"Adopta medidas de combate à tuberculose bovina e altera as normas relativas à classificação sanitária dos efectivos bovinos
";https://dre.pt/application/file/622014;;

DL;;275-A/2000;2000/09/11;Aprova a Lei Orgânica da Polícia Judiciária;https://dre.pt/application/file/353612;;

DL;;278/2000;2000/10/11;Altera para 1 de Janeiro de 2001 a entrada em vigor do Decreto-Lei n.º 83/2000, de 11 de Maio, que aprova o novo regime legal da concessão e emissão de passaportes;https://dre.pt/application/file/614261;;

DL;;309-A/2000;2000/30/11;Altera o artigo 7.º do Decreto-Lei n.º 265/99, de 14 de Julho (procede à criação de uma nova prestação destinada a complementar a proteção concedida aos pensionistas de invalidez, velhice e sobrevivência dos regimes de segurança social em situação de dependência);https://dre.pt/application/file/296506;;

DL;;323-D/2000;2000/20/12;Aprova o Regulamento Geral e Disciplinar dos Centros Educativos;https://dre.pt/application/file/315420;;

DL;;329-A/2000;2000/22/12;Altera o regime de renda condicionada constante do Decreto-Lei n.º 13/86, de 23 de Janeiro;https://dre.pt/application/file/517112;;

Lei;;4/2000;2000/12/04;Primeira alteração à Lei n.º 71/78, de 27 de Dezembro (cria a Comissão Nacional de Eleições);https://dre.pt/application/file/288172;;

Lei;;19/2000;2000/10/08;Primeira alteração à Lei n.º 13/85, de 6 de Julho (património cultural português) e ao Decreto-Lei n.º 164/97, de 27 de Junho (património cultural subaquático);https://dre.pt/application/file/339919;;

Lei ;;30-E/2000;2000/20/12;Altera o regime de acesso ao direito e aos tribunais, atribuindo aos serviços da segurança social a apreciação dos pedidos de concessão de apoio judiciário;https://dre.pt/application/file/315423;;

Lei Orgânica;;4/2000;2000/24/08;Aprova o regime jurídico do referendo local;https://dre.pt/application/file/330295;;

Portaria;;671/2000;2000/17/04;Cadastro e inventário dos bens do Estado (CIBE);https://dre.pt/application/file/1283506;;

Portaria;;1220/2000;2000/29/12;Estabelece regras relativas às condições a que as águas minerais naturais e as águas de nascente, na captação, devem obedecer para poderem ser consideradas bacteriologicamente próprias;https://dre.pt/application/file/662205;;

Resolução da Assembleia da República;;83/2000;2000/14/12;Aprova o Tratado de Amizade, Cooperação e Consulta entre a República Portuguesa e a República Federativa do Brasil, assinado em Porto Seguro em 22 de Abril de 2000;https://dre.pt/application/file/583169;;

Despacho;;8847/2001;2001/27/04;Determina que a ausência de registo de remuneração ou a sua efectuação pela diferença entre os valores da compensação remuneratória e da prestação de desemprego, decorrente da frequência de ações de formação profissional por titulares da prestação de desemprego, não afecta, a atribuição dos subsídios de maternidade, paternidade e adopção.;https://dre.pt/application/file/2065142;;

Despacho Conjunto;;561/2001;2001/22/06;Reintegração dos reclusos na vida activa;https://dre.pt/application/conteudo/3492638;;

DL;;6/2001;2001/18/01;Aprova a reorganização curricular do ensino básico;https://dre.pt/application/file/338962;;

DL;;29/2001;2001/03/02;Estabelece o sistema de quotas de emprego para pessoas com deficiência, com um grau de incapacidade funcional igual ou superior a 60%, em todos os serviços e organismos da administração central, regional autónoma e local;https://dre.pt/application/file/315648;;

DL;;78/2001;2001/05/03;Aprova o regime remuneratório dos membros dos júris do concurso público destinado ao recrutamento excepcional de magistrados;https://dre.pt/application/file/371280;;

DL;;97/2001;2001/26/03;Estabelece o estatuto das carreiras e funções específicas do pessoal de informática;https://dre.pt/application/file/345252;;

DL;;144/2001;2001/26/04;Aprova a regulamentação da base de dados da Direcção-Geral dos Serviços Prisionais;https://dre.pt/application/file/a/165081;;

DL;;161/2001;2001/22/05;Regulamenta a Lei nº 34/98, de 18 de Julho, que estabeleceu um regime excepcional de apoio aos prisioneiros de guerra nas ex-colónias.;https://dre.pt/application/file/342694;;

DL;;174/2001;2001/31/05;Alarga o crédito anual concedido para autoformação aos funcionários e agentes da Administração Pública;https://dre.pt/application/file/332293;;

DL;;196/2001;2001/29/06;Aprova os critérios gerais e o procedimento de alienação dos imóveis integrados no domínio privado do Estado afectos ao Ministério da Defesa Nacional;https://dre.pt/application/file/350182;;

DL;;111/2001;2001/04/07;Regulamenta a Lei n.º 134/99, de 28 de Agosto, no tocante à prevenção e à proibição das discriminações no exercício de direitos por motivos baseados na raça, cor, nacionalidade ou origem étnica;https://dre.pt/application/file/300938;;

DL;;208/2001;2001/27/07;Define as regras a observar na atribuição do complemento extraordinário de solidariedade;https://dre.pt/application/file/372922;;

DL;;237/2001;2001/30/08;Dispensa de escritura pública a realização de determinados actos relativos a sociedades (alterando o Código das Sociedades Comerciais, o Código do Notariado e o Decreto-Lei n.º 513-Q/79, de 26 de Dezembro) e confere competência às câmaras de comércio e indústria, bem como aos advogados e solicitadores, para efectuarem reconhecimentos e certificar ou fazer e certificar traduções de documentos;https://dre.pt/application/file/a/631746;;

DL;;242/2001;2001/31/08;Transpõe para a ordem jurídica interna a Diretiva n.º 1999/13/CE, do Conselho, de 11 de Março, relativa à limitação das emissões de compostos orgânicos voláteis;https://dre.pt/application/file/632076;;

DL;;270/2001;2001/06/10;Aprova o regime jurídico da pesquisa e exploração de massas minerais-pedreiras, revogando o Decreto-Lei n.º 89/90, de 16 de Março;http://dre.pt/pdf1sdip/2001/10/232A00/63476367.pdf;;

DL;;272/2001;2001/13/10;Ao abrigo da autorização legislativa concedida pela Lei n.º 82/2001, de 3 de Agosto, opera a transferência de competência decisória em determinados processos de jurisdição voluntária dos tribunais judiciais para o Ministério Público e as conservatórias do registo civil;https://dre.pt/application/file/621474;;

DL;;276/2001;2001/17/10;Estabelece as normas legais tendentes a pôr em aplicação em Portugal a Convenção Europeia para a Proteção dos Animais de Companhia e um regime especial para a detenção de animais potencialmente perigosos;https://dre.pt/application/file/626150;;

Lei;;1/2001;2001/04/01;Segunda alteração à Lei n.º 98/97, de 26 de Agosto, que aprova a Lei de Organização e Processo do Tribunal de Contas, alterada pela Lei n.º 87-B/98, de 31 de Dezembro;https://dre.pt/application/file/235247;;

Lei;;7/2001;2001/11/05;Adopta medidas de proteção das uniões de facto;https://dre.pt/application/file/314280;;

Lei;;15/2001;2001/06/06;Reforça as garantias do contribuinte e a simplificação processual, reformula a organização judiciária tributária e estabelece um novo regime geral para as infrações tributárias;http://dre.pt/pdf1sdip/2001/06/130A00/33363427.pdf;;

Lei;;16/2001;2001/22/06;Lei da Liberdade Religiosa;https://dre.pt/application/file/362670;;

Lei;;91/2001;2001/20/08;Lei de enquadramento orçamental;https://dre.pt/application/file/516088;;

Lei;;101/2001;2001/25/08;Regime jurídico das ações encobertas para fins de prevenção e investigação criminal;https://dre.pt/application/file/515573;;

Lei;;104/2001;2001/25/08;Primeira alteração à Lei n.º 144/99, de 31 de Agosto (aprova a lei da cooperação judiciária internacional em matéria penal);https://dre.pt/application/file/515574;;

Lei;;106/2001;2001/31/08;"Regulamenta o acesso à actividade e ao mercado dos transportes em táxi; Segunda alteração do Decreto-Lei 251/98 de 11 de Agosto, com a redação dada pela Lei 156/99, de 14 de Setembro";http://dre.pt/pdf1sdip/2001/08/202A00/55875594.pdf;;

Lei;;107/2001;2001/08/09;Estabelece as bases da política e do regime de proteção e valorização do património cultural;https://dre.pt/application/file/629698;;

Lei;;109/2001;2001/24/12;Terceira alteração ao Decreto-Lei n.º 433/82, de 27 de Outubro (institui o ilícito de mera ordenação social e respectivo processo), em matéria de prescrição (contraordenações);http://dre.pt/pdf1sdip/2001/12/296A00/84108410.pdf;;

Lei Orgânica;;1/2001;2001/14/08;Lei que regula a eleição dos titulares dos órgãos das autarquias locais e segunda alteração à Lei n.º 56/98, de 18 de Agosto, com a redação que lhe foi conferida pela Lei n.º 23/2000, de 23 de Agosto, que altera o regime do financiamento dos partidos políticos e das campanhas eleitorais;https://dre.pt/application/file/523974;;

Portaria;;330/2001;2001/02/04;Fixa as normas técnicas para a estrutura da proposta de definição do âmbito do EIA (PDA) e normas técnicas para a estrutura do estudo do impacte ambiental (EIA);https://dre.pt/application/file/a/345987;;

Portaria;;1047/2001;2001/01/09;Aprova o modelo de pedido de licenciamento de atividades económicas abrangidas pelo Decreto-Lei n.º 194/2000, de 21 de Agosto, que aprovou o regime jurídico da prevenção e controlo integrados da poluição (PCIP);https://dre.pt/application/file/632311;;

Regulamento;CE;1206/2001;2001/28/05;Regulamento (CE) n.° 1206/2001 do Conselho, de 28-05-2001, relativo à cooperação entre os tribunais dos Estados-Membros no domínio da obtenção de provas em matéria civil ou comercial;http://eur-lex.europa.eu/legal-content/PT/TXT/?uri=celex:32001R1206;;

Lei;;9/2002;2002/11/02;Regime jurídico dos períodos de prestação de serviço militar de ex-combatentes, para efeitos de aposentação e reforma;http://data.dre.pt/eli/lei/9/2002/02/11/p/dre/pt/html;;

Circular;AT;12/2002;2002/19/04;Tratamento Fiscal dos donativos: Estatuto do Mecenato (Circular DSIRC DSIVA);https://info.portaldasfinancas.gov.pt/NR/rdonlyres/813BC302-CFAB-4F58-9B41-31AC3237763A/0/circular_12_de_19-04-2002_direccao_de_servicos_do_irc_e_direccao_de_servico.pdf;;

Regulamento;;17/2002;2002/27/02;Aprovação do Regulamento de Inspecções do Ministério Público pelo Conselho Superior do Ministério Público;https://dre.pt/application/dir/pdf2sdip/2002/02/049000000/0377603778.pdf;;

DL;;26/2002;2002/14/02;Estabelece o regime jurídico dos códigos de classificação económica das receitas e das despesas públicas, bem como a estrutura das classificações orgânicas aplicáveis aos organismos que integram a administração central;https://dre.pt/application/file/284259;;

DL;;51/2002;2002/02/03;Atribui relevância jurídica à disponibilização e submissão por via electrónica dos modelos dos formulários dos organismos e serviços públicos integrados na Administração Pública;https://dre.pt/application/file/251893;;

DL;;52/2002;2002/02/03;Cria um registo nacional de teses de doutoramento em curso;https://dre.pt/application/file/251891;;

DL;;84-A/2002;2002/05/04;Alteração ao POCAL;http://dre.pt/pdf1sdip/2002/04/080A01/00020003.pdf;;

DL;;112/2002;2002/17/04;Aprova o Plano Nacional da Água;https://dre.pt/application/file/291736;;

DL;;121/2002;2002/03/05;Estabelece o regime jurídico da colocação no mercado dos produtos biocidas, transpondo a Diretiva n.º 98/8/CE, do Parlamento Europeu e do Conselho, de 16 de Fevereiro;https://dre.pt/application/file/371101;;

DL;;122/2002;2002/04/05;Aprova o regime jurídico das novas séries de certificados de aforro e altera o Decreto-Lei n.º 172-B/86, de 30 de Junho, e o Decreto n.º 43454, de 30-12-1960;https://dre.pt/application/file/370931;;

DL;;129/2002;2002/11/05;Aprova o Regulamento dos Requisitos Acústicos dos Edifícios;https://dre.pt/application/file/368332;;

DL;;131/2002;2002/11/05;Estabelece a forma de criação e gestão de parques arqueológicos, bem como os objectivos, o conteúdo material e o conteúdo documental do plano de ordenamento de parque arqueológico;http://dre.pt/pdf1sdip/2002/05/109A00/44294431.pdf;;

DL;;165/2002;2002/17/07;Estabelece as competências dos organismos intervenientes na área da proteção contra radiações ionizantes, bem como os princípios gerais de proteção, e transpõe para a ordem jurídica interna as disposições correspondentes da Diretiva n.º 96/29/EURATOM, do Conselho, de 13 de Maio, que fixa as normas de base de segurança relativas à proteção sanitária da população e dos trabalhadores contra os perigos resultantes das radiações ionizantes;https://dre.pt/application/file/205727;;

DL;;167/2002;2002/18/07;Estabelece o regime jurídico relativo ao licenciamento e ao funcionamento das entidades que desenvolvem atividades nas áreas de proteção radiológica e transpõe para a ordem jurídica interna disposições relativas às matérias de dosimetria e formação, da Diretiva n.º 96/29/EURATOM, do Conselho, de 13-05-1996, que fixa as normas de base de segurança relativas à proteção sanitária da população e dos trabalhadores contra os perigos resultantes das radiações ionizantes;https://dre.pt/application/file/206718;;

DL;;180/2002;2002/08/08;Estabelece as regras relativas à proteção da saúde das pessoas contra os perigos resultantes de radiações ionizantes em exposições radiológicas médicas e transpõe para o ordenamento jurídico interno a Diretiva n.º 97/43/EURATOM, do Conselho, de 30 de Junho, que aproxima as disposições dos Estados-Membros sobre a matéria;https://dre.pt/application/file/185055;;

DL;;182/2002;2002/20/08;Altera o Decreto-Lei n.º 54/75, de 12 de Fevereiro, que aprova o registo da propriedade automóvel;https://dre.pt/application/file/171654;;

DL;;185/2002;2002/20/08;Define o regime jurídico das parcerias em saúde com gestão e financiamentos privados;https://dre.pt/application/file/a/171653;;

DL;;267/2002;2002/26/11;Estabelece os procedimentos e define as competências para efeitos de licenciamento e fiscalização de instalações de armazenamento de produtos de petróleo e instalações de postos de abastecimento de combustíveis;https://dre.pt/application/file/447864;;

DL;;309/2002;2002/16/12;Regula a instalação e o financiamento de recintos de espetáculos, no âmbito das competências das câmaras municipais, em desenvolvimento do regime previsto na alínea s) do n.º 1 do artigo 13.º da Lei n.º 30-C/2000, de 29 de Dezembro, na alínea a) do n.º 2 do artigo 21.º da Lei n.º 159/99, de 14 de Setembro, e no n.º 1 do artigo 12.º da Lei n.º 109-B/2001, de 27 de Dezembro;https://dre.pt/application/file/405811;;

DL;;310/2002;2002/18/12;Regula o regime jurídico do licenciamento e fiscalização pelas câmaras municipais de atividades diversas anteriormente cometidas aos governos civis;https://dre.pt/application/file/405645;;

DL;;316/2002;2002/27/12;Aprova o Regulamento da Medalha Militar e das Medalhas Comemorativas das Forças Armadas;https://dre.pt/application/file/404795;;

Decreto Regulamentar;;33/2002;2002/23/04;Aprova o Regulamento de Atribuição de Apoio Social a Emigrantes Carenciados das Comunidades Portuguesas (ASEC-CP) e altera e republica o Regulamento de Atribuição do Apoio Social a Idosos Carenciados das Comunidades Portuguesas (ASIC-CP), aprovado pelo despacho conjunto n.º 17/2000, de 7 de Fevereiro;https://dre.pt/application/file/a/288685;;

Lei;;3/2002;2002/08/01;Reconhece o título de residência para efeitos de recenseamento eleitoral no estrangeiro e procede à primeira alteração à Lei n.º 13/99, de 22 de Março, que estabelece o novo regime jurídico do recenseamento eleitoral;https://dre.pt/application/file/584912;;

Lei;;5/2002;2002/11/01;Estabelece medidas de combate à criminalidade organizada e económico-financeira e procede à segunda alteração à Lei n.º 36/94, de 29 de Setembro, alterada pela Lei n.º 90/99, de 10 de Julho, e quarta alteração ao Decreto-Lei n.º 325/95, de 2 de Dezembro, alterado pela Lei n.º 65/98, de 2 de Setembro, pelo Decreto-Lei n.º 275-A/2000, de 9 de Novembro, e pela Lei n.º 104/2001, de 25 de Agosto;https://dre.pt/application/file/582949;;

Lei;;5-A/2002;2002/11/01;Primeira alteração à Lei n.o 169/99, de 18 de Setembro, que estabelece o quadro de competências, assim como o regime jurídico de funcionamento, dos órgãos dos municípios e das freguesias;https://dre.pt/application/file/570436;;

Lei;;13/2002;2002/19/02;Aprova o Estatuto dos Tribunais Administrativos e Fiscais (revoga o Decreto-Lei n.º 129/84, de 27 de Abril) e procede à 3.ª alteração do Decreto-Lei n.º 59/99, de 2 de Março, alterado pela Lei n.º 163/99, de 14 de Setembro, e pelo Decreto-Lei n.º 159/2000, de 27 de Julho, à 42.ª alteração do Código de Processo Civil, à 1.ª alteração da Lei n.º 168/99, de 18 de Setembro, e à 2.ª alteração da Lei n.º 11/87, de 7 de Abril, alterada pelo Decreto-Lei n.º 224-A/96, de 26 de Novembro;https://dre.pt/application/file/a/277931;;

Lei;;15/2002;2002/22/02;Aprova o Código de Processo nos Tribunais Administrativos (CPTA);https://dre.pt/application/file/a/280822;;

Lei;;27/2002;2002/08/11;Aprova o novo regime jurídico da gestão hospitalar e procede à primeira alteração à Lei n.º 48/90, de 24 de Agosto;https://dre.pt/application/file/425435;;

Lei;;32/2002;2002/20/12;Aprova as bases da segurança social;https://dre.pt/application/file/405435;;

DL;;86/2002;2002/06/04;Atualiza o regime jurídico das obras de aproveitamento hidroagrícola, aprovado pelo Decreto-Lei n.o 269/82, de 10 de Julho;https://dre.pt/application/file/a/303037;;

Portaria;;1010/2002;2002/09/08;Estabelece as regras complementares necessárias à gestão e acompanhamento do regime específico de abastecimento das Regiões Autónomas dos Açores e da Madeira, no âmbito do Regulamento (CE) n.º 1453/2001, do Conselho, de 28 de Junho, e do Regulamento (CE) n.º 20/2002, da Comissão, de 28-12-2001 (POSEIMA). Revoga a Portaria n.º 1231/92, de 31 de Dezembro;https://dre.pt/application/file/183902;;

Decisão-Quadro;UE;584/JAI/2002;2002/13/06;Decisão-Quadro 2002/584/JAI do Conselho, relativa ao mandado de detenção europeu e aos processos de entrega entre os Estados-Membros;http://eur-lex.europa.eu/resource.html?uri=cellar:3b151647-772d-48b0-ad8c-0e4c78804c2e.0010.02/DOC_1&format=PDF;;

Decisão-Quadro;UE;568/JAI/2003;2003/22/07;Decisão-Quadro 2003/568/JAI do Conselho, relativa ao combate à corrupção no sector privado;http://eur-lex.europa.eu/legal-content/PT/TXT/?uri=CELEX%3A32003F0568;;

DL;;91/2003;2003/30/04;Altera o Decreto-Lei n.º 279/98, de 17 de Setembro, que estabelece o regime jurídico dos bilhetes do Tesouro;https://dre.pt/application/file/571366;;

Circular Normativa;DGS;04/2003;2003/31/03;Orientações para a operacionalização do módulo de vacinação SINUS - 04/DT/2003;https://www.dgs.pt/upload/membro.id/ficheiros/i005567.pdf;;

Diretiva;CE;110/2003;2003/25/11;Relativa ao apoio em caso de trânsito para efeitos de afastamento por via aérea;http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32003L0110&from=PT;;

Decisão;CE;189/2003;2003/18/06;Decisão n.° 189 de 18-06-2003, relativa à substituição dos formulários necessários para a aplicação dos Regulamentos (CEE) n.o 1408/71 e (CEE) n.o 574/72 do Conselho pelo cartão europeu de seguro de doença, no que respeita ao acesso aos cuidados de saúde durante uma estada temporária num Estado-Membro que não seja o Estado competente ou de residência. (2003/751/CE);http://eur-lex.europa.eu/legal-content/PT/TXT/PDF/?uri=CELEX:32003D0751&from=PT;;

DL;;7/2003;2003/15/01;Elaboração da Carta Educativa e criação do Conselho Municipal de Educação;http://dre.pt/pdf1sdip/2003/01/012A00/01300137.pdf;;

DL;;32/2003;2003/17/02;Estabelece o regime especial relativo aos atrasos de pagamento em transações comerciais, transpondo a Diretiva n.º 2000/35/CE, do Parlamento Europeu e do Conselho, de 29 de Junho, e altera o artigo 102.º do Código Comercial e os artigos 7.º, 10.º, 12.º, 12.º-A e 19.º do Decreto-Lei n.º 269/98, de 1 de Setembro;https://dre.pt/application/file/189443;;

DL;;36/2003;2003/05/03;Aprova o novo Código da Propriedade Industrial, no uso da Lei, de autorização legislativa, n.º 17/2002, de 15 de Julho;https://dre.pt/application/file/220609;;

Lei;;37/2003;2003/22/08;Estabelece as bases do financiamento do ensino superior;https://dre.pt/application/file/a/656008;;

DL;;41/2003;2003/11/03;Altera o Decreto-Lei n.º 251/98, de 11 de Agosto, que regula a actividade de transportes em táxi;dre.pt/application/file/a/221390;;

DL;;59/2003;2003/01/04;Transpõe para a ordem jurídica nacional a Diretiva n.º 1999/22/CE, do Conselho, de 29 de Março, relativa à detenção de animais da fauna selvagem em parques zoológicos, estabelecendo as normas para a manutenção e bem-estar dos animais, o licenciamento e inspecções dos parques, a gestão das colecções, a promoção de estudos científicos, a salvaguarda da biodiversidade e a educação pedagógica dos visitantes;https://dre.pt/application/file/232405;;

DL;;67/2003;2003/08/04;Transpõe para a ordem jurídica nacional a Diretiva n.º 1999/44/CE, do Parlamento Europeu e do Conselho, de 25 de Maio, sobre certos aspectos da venda de bens de consumo e das garantias a ela relativas, e altera a Lei n.º 24/96, de 31 de Julho;https://dre.pt/application/file/223573;;

DL;;93/2003;2003/30/04;Disciplina as condições de acesso e análise, em tempo real, da informação pertinente para a investigação dos crimes tributários pela Polícia Judiciária e pela administração tributária;https://dre.pt/application/file/571367;;

DL;;134/2003;2003/28/06;Aprova o registo das pessoas colectivas religiosas, previsto na Lei da Liberdade Religiosa, aprovada pela Lei n.º 16/2001, de 22 de Junho;https://dre.pt/application/file/693342;;

DL;;153/2003;2003/11/07;Estabelece o regime jurídico da gestão de óleos usados;https://dre.pt/application/file/667649;;

DL;;154/2003;2003/15/07;Regulamenta a aplicação do Tratado de Amizade, Cooperação e Consulta entre a República Portuguesa e a República Federativa do Brasil, assinado em Porto Seguro em 22 de Abril de 2000, no que respeita ao regime processual de atribuição e registo do estatuto de igualdade aos cidadãos brasileiros residentes em Portugal e aos cidadãos portugueses residentes no Brasil;https://dre.pt/application/file/671571;;

DL;; 178/2003;2003/05/08;Estabelece limitações às emissões para a atmosfera de certos poluentes provenientes de grandes instalações de combustão,;https://dre.pt/application/file/653401;;

DL;;190/2003;2003/22/08;Regulamenta a Lei n.º 93/99, de 14 de Julho, que regula a aplicação de medidas para proteção de testemunhas em processo penal;https://dre.pt/application/file/656009;;

DL;;193/2003;2003/22/08;Fixa os tectos de emissão nacionais de determinados poluentes atmosféricos,;https://dre.pt/application/file/656024;;

DL;;196/2003;2003/23/08;Transpõe para a ordem jurídica nacional a Diretiva n.º 2000/53/CE, do Parlamento Europeu e do Conselho, de 18 de Setembro, relativa aos veículos em fim de vida;https://dre.pt/application/file/655869;;

DL;;273/2003;2003/29/10;Procede à revisão da regulamentação das condições de segurança e de saúde no trabalho em estaleiros temporários ou móveis, constante do Decreto-Lei n.º 155/95, de 1 de Julho, mantendo as prescrições mínimas de segurança e saúde no trabalho estabelecidas pela Diretiva n.º 92/57/CEE, do Conselho, de 24 de Junho;https://dre.pt/application/dir/pdf1sdip/2003/10/251A00/71997211.pdf;;

DL;;304/2003;2003/09/12;Estabelece o regime jurídico de acesso e de exercício da actividade de promoção e organização de campos de férias;https://dre.pt/application/file/429123;;

DL;;287/2003;2003/12/11;Aprova o Código do Imposto Municipal sobre Imóveis e o Código do Imposto Municipal sobre as Transmissões Onerosas de Imóveis, altera o Código do Imposto do Selo, altera o Estatuto dos Benefícios Fiscais e os Códigos do IRS e do IRC e revoga o Código da Contribuição Predial e do Imposto sobre a Indústria Agrícola, o Código da Contribuição Autárquica e o Código do Imposto Municipal de Sisa e do Imposto sobre as Sucessões e Doações.;https://dre.pt/web/guest/pesquisa-avancada/-/asearch/advanced/maximized?types=SERIEI&anoDoc=2003&tipo=decreto+lei&numero=287%2F2003&search=Pesquisar&p_auth=qmF5VWIr&fpb=dHJ1ZQ%3D%3D;;

DL;;293/2003;2003/19/11;Transpõe para a ordem jurídica nacional a Diretiva n.º 2002/30/CE, relativa ao estabelecimento de regras e procedimentos para a introdução de restrições de operação relacionadas com o ruído;https://dre.pt/application/file/445393;;

DL;;314/2003;2003/17/12;Aprova o Programa Nacional de Luta e Vigilância Epidemiológica da Raiva Animal e Outras Zoonoses (PNLVERAZ) e estabelece as regras relativas à posse e detenção, comércio, exposições e entrada em território nacional de animais susceptíveis à raiva;https://dre.pt/application/file/432911;;

DL;;315/2003;2003/17/12;Altera o Decreto-Lei n.º 276/2001, de 17 de Outubro, que estabelece as normas legais tendentes a pôr em aplicação em Portugal a Convenção Europeia para a Proteção dos Animais de Companhia;https://dre.pt/application/file/432912;;

Lei;;48/2003;2003/22/01;Segunda alteração à Lei n.º 144/99, de 31 de Agosto, que aprova a lei da cooperação judiciária internacional em matéria penal;https://dre.pt/application/file/656000;;

Lei;;11/2003;2003/13/05;Estabelece o regime de criação, o quadro de atribuições e competências das comunidades intermunicipais de direito público e o funcionamento dos seus órgãos;http://www.ces.uc.pt/aigaion/attachments/lL112003.pdf-e2ea7d81b414021f4f9a478ed873530b.pdf;;

Lei;;19/2003;2003/20/06;Financiamento dos partidos políticos e das campanhas eleitorais;https://dre.pt/application/file/692937;;

Lei;;36/2003;2003/22/08;Estabelece normas de execução da decisão do Conselho da União Europeia que cria a EUROJUST, a fim de reforçar a luta contra as formas graves de criminalidade, e regula o estatuto e competências do respectivo membro nacional;https://dre.pt/application/file/656017;;

Lei;;52/2003;2003/22/08;Lei de combate ao terrorismo (em cumprimento da Decisão Quadro n.º 2002/475/JAI, do Conselho, de 13 de Junho) - décima segunda alteração ao Código de Processo Penal e décima quarta alteração ao Código Penal;https://dre.pt/application/file/656029;;

Lei;;65/2003;2003/23/08;Aprova o regime jurídico do mandado de detenção europeu (em cumprimento da Decisão Quadro n.º 2002/584/JAI, do Conselho, de 13 de Junho);https://dre.pt/application/file/655868;;

Lei;;99/2003;2003/27/08;Aprova o Código do Trabalho;https://dre.pt/application/file/632814;;

Lei;;100/2003;2003/15/11;Aprova o novo Código de Justiça Militar e revoga a legislação existente sobre a matéria;https://dre.pt/application/file/a/446423;;

