Estado;Código;Título;Descrição;Notas de aplicação;Exemplos NA;Notas de exclusão;Diplomas jurídico-administrativos REF;Tipo de processo;Processo transversal (S/N);Dono do processo;Participante no processo;Tipo de intervenção do participante;Código do processo relacionado;Título do processo relacionado;Tipo de relação entre processos;Dimensão qualitativa do processo;Uniformização do processo;Prazo de conservação administrativa;Nota ao PCA;Justificação PCA;Forma de contagem do PCA;Destino final;Justificação DF;Notas;;;;;;;;;;

;650.10.021;Concessão de benefícios a antigos combatentes;"Atribuição de acréscimo vitalício de pensão, de natureza indemnizatória atribuída aos antigos combatentes pela prestação de serviço militar em condições especiais de dificuldade ou perigo, em que se incluem ex-militares mobilizados para Angola, Guiné, Moçambique, Timor-Leste, bem como ex-militares aprisionados ou capturados no estado da Índia aquando da invasão deste território por forças da União Indiana.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise das condições de atribuição, com contagem de tempo de serviço militar e dispensa de pagamento de quotas, decisão sobre o cálculo, bem como aplicação de regime de redução, suspensão, transmissão e actualização da prestação, acréscimo vitalício de pensão e suplemento especial de pensão.";Benefícios a antigos combatentes ou aos seus herdeiros e familiares#;;;"Lei 9/2002#
Lei 3/2009#
Portaria 1035/2009#";PE;S;"CGA#
ISS#";"DGRDN#
";Comunicar#;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.010#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo de trabalhadores no sistema da Caixa Geral de Aposentações#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#";Média;S;5;;"#Critério legal:
[DL 498/72], art.º 68º - Prazo prescricional prescrição para exercício do direito às prestações, e art.º 111º, aplicação das disposições relativas ao processo de aposentação aos demais processos cuja resolução seja da competência da Caixa Geral de Aposentações.";Data de cessação da vigência;E;"#Critério de densidade informacional: 
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas
PN 150.40.001 - Realização de operações estatísticas oficiais
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão
PN 300.30.008 - Registo de documentos e informação
PN 400.10.010 - Registo de trabalhadores no sistema da Caixa Geral de Aposentações.  
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.022;Concessão de prestações por acidentes de trabalho e doenças profissionais ;"Atribuição de prestações, de atribuição única ou concessão continuada, que concretizam a reparação da incapacidade permanente ou morte resultante de acidentes de trabalho ou de doenças profissionais, ocorridos ou com diagnóstico após 1 de maio de 2000. 
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise das condições de atribuição, decisão sobre o cálculo, bem como aplicação de regime de redução, suspensão, transmissão e actualização da prestação. 
";"Prestação por acidente de trabalho atribuída ao próprio ou aos seus herdeiros e familiares#
Prestação por doença profissional atribuída ao próprio ou aos seus herdeiros e familiares#";;;"DL 503/99#
Lei 98/2009#
";PE;N;"CGA#
AL#";;;"150.20.404#
150.40.001#
150.40.500#
300.30.008#
400.10.010#";"Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Registo de trabalhadores no sistema da Caixa Geral de Aposentações#";"Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#
Sintese(sintetiza)#";Média;S;5;;"#Critério legal:
[DL 498/72],art.º 68º - Prazo prescricional para exercício do direito às prestações, e art.º 111º, aplicação das disposições relativas ao processo de aposentação aos demais processos cuja resolução seja da competência da Caixa Geral de Aposentações.";Data de cessação da vigência;E;"#Critério de densidade informacional: 
Informação sintetizada complementarmente em
PN 150.20.404 - Prestação de contas
PN 150.40.001 - Realização de operações estatísticas oficiais
PN 150.40.500 - Recolha e tratamento de dados estatísticos de apoio à gestão
PN 300.30.008 - Registo de documentos e informação
PN 400.10.010 - Registo de trabalhadores no sistema da Caixa Geral de Aposentações.
A aplicação de regras para a determinação da prestação a atribuir encontra-se sujeita a condições formais rigorosas de controlo acentuado, sendo essas regras preservadas em 100.10.";;;;;;;;;;;

;650.10.100;Concessão de auxílios económicos a alunos ou formandos;"Atribuição de apoios pecuniários ou em espécie a alunos e formandos desfavorecidos e em carência económica ou para fazer face a despesas decorrentes da frequência da formação.
Inicia com o processamento do pedido ou com a sinalização da situação pela entidade ou com a atribuição por direito e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o valor a atribuir.";"Bolsa de estudo#
Subsídio para alimentação#
Subsídio para alojamento#
Subsídio para livros e material escolar#
Subsídio para transporte escolar#
Fornecimento de refeições#
Atribuição de passe social#
Atribuição de materiais e manuais escolares#
Bolsa de profissionalização#
Isenção de pagamento de comparticipação#";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;"Decreto Regulamentar 84-A/2007#
Portaria 782/2009#
Despacho Normativo 12/2009#
Despacho Normativo 12/2010#
DL 116/2010#
Despacho Normativo 2/2011#
DL 133/2012#";PE;N;"ISS#
IEFP#
CPL#
ES#
AL#
Grupo IP#";;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
500.10.301#
650.10.205#
650.10.300#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de fiscalização#
Concessão de rendimento social de inserção#
Concessão de abonos de família para crianças e jovens#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Suplemento para#
Cruzada#
Cruzada#


";Elevada;N;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar a atuação em particular da Administração, numa área em que a aplicação de regras pode ser mais flexivel.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;

;650.10.101;Concessão de comparticipações para redes de serviços e equipamentos sociais;"Atribuição de prestações pecuniárias mensais que possibilitam o acesso a um conjunto de respostas integradas de cuidados e apoio social para crianças, jovens, idosos, pessoas portadoras de deficiência e dependências.  
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados e decisão sobre o montante a atribuir.



";"Acesso a ama#
Acesso a creche#
Acesso a creche familiar#
Acesso a estabelecimento de educação pré-escolar#
Acesso a centro de atividades de tempos livres#
Acesso a equipamento de reinserção social#
Serviço de apoio domiciliário#
Residência para pessoas infetadas com o VIH/SIDA#
Residências de acolhimento permanente#
Residências de acolhimento temporário#";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;Lei 32/2002#;PE;N;"ISS#
AL#
Grupo IP#";;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
500.10.301#
650.20.001#
";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de fiscalização#
Sinalização e encaminhamento em situações de vulnerabilidade#

";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Suplemento para#
Cruzada#




";Elevada;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar a atuação em particular da Administração, numa área em que a aplicação de regras pode ser mais flexivel.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;

;650.10.102;Concessão de prestações em espécie a trabalhador com doença profissional;"Aprovação de despesa a trabalhador com doença profissional, para posterior reembolso. Esta despesa reporta-se a serviços e tratamentos, quando necessários e adequados ao restabelecimento do estado de saúde e da capacidade de trabalho e recuperação para a vida ativa.
Inicia com o processamento do pedido e termina com a comunicação do montante a atribuir.
Inclui análise da situação mediante os comprovativos apresentados, parecer de perito médico e decisão sobre o montante a atribuir.";"Despesa com as prestações em espécie, sendo estas de natureza médica, cirúrgica, farmacêutica, hospitalar, como apoio psicoterapêutico, sempre que necessário, à família do doente profissional#
Assistência médica e cirúrgica#
Cuidados de enfermagem#
Deslocação, alimentação e alojamento para diagnóstico ou tratamento de doença profissional (por exemplo, para ir a uma consulta, um tratamento ou a uma junta médica) ou comparência a atos judiciais#
Exames e elementos complementares de diagnóstico#
Hospitalização e tratamentos termais#
Medicamentos e produtos farmacêuticos#
Próteses e ortóteses (incluindo a sua renovação e reparação)#
Reabilitação e reintegração profissional e social, incluindo a adaptação ao posto de trabalho#
Tratamentos e visitas domiciliárias#";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;DL 503/99#;PC;S;ISS#;"AP#
INFARMED#";"Iniciar#
Iniciar#";"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
450.30.500#
500.10.301#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Certificação de doença, aptidão ou incapacidade#
Realização de fiscalização#
";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Sucessão (antecessor)#
Suplemento para#



";Elevada;N;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar a atuação em particular da Administração, numa área em que a aplicação de regras pode ser mais flexivel.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;

;650.10.103;Concessão de subsídios de precariedade económica;"Atribuição de apoio pecuniário para satisfação de necessidades básicas, das pessoas e famílias mais carenciadas, concedido em situação de emergência ou de extrema carência.
Inicia com a solicitação da atribuição e termina com a comunicação do montante a atribuir.
Inclui estudo e proposta de solução pelos técnicos e decisão sobre o montante a atribuir.";"Ajuda alimentar# 
Apoio a famílias carenciadas#
Apoio a reparações em habitação#
Apoio em situação de reclusão# ";;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;;PE;N;"ISS#
AL#";;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
500.10.301#
650.20.001#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de fiscalização#
Sinalização e encaminhamento em situações de vulnerabilidade";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Suplemento para#
Sucessão (antecessor)#";Elevada;N;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar a atuação em particular da Administração, numa área em que a aplicação de regras pode ser mais flexivel.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;

;650.10.104;"Atribuição de produtos de apoio
";"Atribuição de ajudas técnicas como instrumentos, equipamentos ou sistemas técnicos usados por uma pessoa com deficiência, especialmente produzidos ou disponiveis, que previnem, compensam, atenuam ou neutralizam a limitação funcional ou de participação.
Inicia com a solicitação da atribuição e termina com a comunicação da decisão.
Inclui análise da situação, verificação da conformidade com os requisitos e decisão sobre a atribuição.";"Produtos de apoio diretamente fornecidos aos utentes nas unidades hospitalares e noutras entidades prescritoras da área da saúde#
Ajudas técnicas e tecnologias de apoio concedidas a pessoas com deficiência ou com incapacidade temporária#";;"O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
A definição de comparticipações em tecnologias de saúde deve ser considerada em 650.10.110 - Atribuição de comparticipação em tecnologias de saúde#
A prescrição de produtos de apoio deve ser considerada em PN específico da classe 700.20 - Serviços clínicos#";DL 93/2009#;PE;S;INR#;"AL#
ISS#
ACES#
IEFP#
ACSS#
DGE#
HH#";"Comunicar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#
Comunicar#

";"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
500.10.301#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Suplemento para#
";Média;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais;
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar a atuação em particular da Administração, numa área em que a aplicação de regras pode ser mais flexivel.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;

;650.10.105;Atribuição de rendas apoiadas;"Concessão de prestação pecuniária mensal ou definição do montante de renda económica, como forma de proteção de arrendatários economicamente desfavorecidos.
Inicia com processamento do pedido e termina com a comunicação do montante a atribuir ou da atribuição da casa de renda económica.
Inclui análise da situação, verificação da conformidade com os requisitos, seleção dos candidatos e decisão sobre o montante ou a habitação a atribuir.";"Atribuição de comparticipação para que a aquisição se processe a custo reduzido#
Atribuição de renda económica a casas e a espaços comerciais, garagens e espaços de estacionamento adstritos às mesmas#
Atribuição de montante mensal para pagamento de renda de casa#";;"O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#
Os contratos de arrendamento devem ser considerados em 400.30.001 – Celebração de contratos, escrituras, títulos equivalentes e testamentos#";"Lei 159/99#
Lei 169/99#
Lei 6/2006#
Lei 21/2009#
Lei 81/2014#
Lei 43/2017#";PE;N;"ISS#
AL#";;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
500.10.301#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Suplemento para#";Elevada;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º - Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar a atuação em particular da Administração, numa área em que a aplicação de regras pode ser mais flexivel.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;

;650.10.107;Subsídios para apoio ao regresso voluntário;"Atribuição de prestação pecuniária pelo Estado para apoio ao retorno voluntário de cidadãos estrangeiros aos países de origem ou a Estados Terceiros de acolhimento dispostos a recebê-los.
Inicia com o requerimento e termina com a comunicação do montante a atribuir.
Inclui análise do processo.
";;;O fluxo financeiro deve ser considerado em 350.30.001 – Cobrança de receitas e pagamento de despesas#;Lei 23/2007;PE;N;SEF#;;;"150.10.600#
150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
500.10.301#";"Avaliação de políticas e instrumentos de operacionalização#
Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Suplemento para#";Média;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;CP;"#Critério de densidade informacional:
Enumeração e tipificação dos casos recuperável através das estatísticas.
Esta síntese não permite recuperar a atuação em particular da Administração, numa área em que a aplicação de regras pode ser mais flexivel.
A aplicação de um critério de amostragem aleatória sobre este PN permitirá conhecer em detalhe alguns casos e obter um subconjunto representativo de todas as características da população-alvo.
Toma ainda como base o facto da imprevisibilidade dos estudos nesta área e a impossibilidade atual de conservar toda a produção.
A constituição de uma amostra significativa do universo de onde é retirada, mediante a aplicação de métodos estatísticos com uma margem de erro controlada, será suficiente para representar o universo.
A grelha para seleção da amostragem encontra-se no final desta página.
";;;;;;;;;;;

;650.10.109;"Indemnização social prestada a vítimas de crime violento e de violência doméstica

";"Atribuição de indemnização social atribuída, quer à vítima de violência doméstica que se encontram numa situação de grave carência económica, na sequência da rutura familiar, quer à vítima - direta ou indireta - de crime violento, desde que tenham sofrido por causa do crime uma incapacidade superior a 30 dias, tenham sofrido uma perturbação considerável do seu nível e da sua qualidade de vida, e não tenham obtido nenhum tipo de reparação em sede de execução de sentença condenatória.
Inicia com a notificação emitida pela entidade competente para atribuição do adiantamento da indemnização termina com a atribuição da indemnização
Inclui instrução do pedido.";Vítimas de crime de violência doméstica e de crime violento, desde que tenham sido vítimas desses crimes em território português ou a bordo de navios ou aeronaves portuguesas#;;"A concessão de indemnização ou reparação obtida em sede de execução de sentença condenatória deve ser considerada no respetivo processo#
O pagamento da indemnização deve ser considerado em 350.30.001 - Cobrança de receitas e pagamento d edespesas#  
O processamento de despesa com indemnização decorrente de acidente de trabalho deve ser considerado em 350.10.508 – Processamento de indemnizações e injunções#
Os pedidos de apoio psicossocial de iniciativa privada ou sinalizados por terceiros devem ser considerados em 650.20.304 – Apoio psicossocial#";"DL 120/2010#
Lei 112/2009#
Lei 104/2009#";PE;S;CPVC#;MP#;Iniciar#;"150.20.300#
150.20.404#
150.40.001#
150.40.500#
300.30.008#
350.30.001#
400.10.011#
500.10.301#";"Avaliação de atividades#
Prestação de contas#
Realização de operações estatísticas oficiais#
Recolha e tratamento de dados estatísticos de apoio à gestão#
Registo de documentos e informação#
Cobrança de receitas e pagamento de despesas#
Registo no sistema da Segurança Social#
Realização de fiscalização#";"Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (sintetizado)#
Síntese (síntetizado)#
Síntese (síntetizado)#
Sucessão (antecessor)#
Síntese (síntetizado)#
Suplemento para#";Reduzida;S;5;;"#Critério legal:
Conjugação:
[Lei 4/2007], Bases gerais do sistema de segurança social, art.º 69º - Prescrição do direito às prestações, e art.º 80º Incumprimento das obrigações legais; 
[DL 433/82], art.º 27º - Prazo prescricional do procedimento contraordenacional.
O prazo contempla quer a prescrição do direito à prestação pelo beneficiário, quer a perda de capacidade da Administração para acionar o pagamento de contraordenação por incumprimento das obrigações legais do beneficiário, por via da prescrição contraordenacional.
#Critério de utilidade administrativa:
Prazo decorrente da necessidade de consulta deste PN para apuramento de responsabilidade em sede do PN 500.10.301 - Realização de fiscalização.";Data de cessação da vigência;C;"#Critério de densidade informacional:
Informação não recuperável noutro PN.";"O art. º 21.º da Lei 112/2009 de 16 de Setembro, reconhece à vítima, no âmbito do processo penal, o direito a obter uma decisão de indemnização por parte do agente do crime, dentro de um prazo razoável.
O dever de indemnizar recai sobre o autor do crime.
Contudo, em alguns casos, face às dificuldades económicas em que a vítima ficou em resultado do crime e à impossibilidade de receber em tempo útil uma compensação por parte do autor do crime, o Estado pode adiantar uma indemnização.
A Comissão de Proteção às Vítimas de Crimes é um órgão administrativo independente responsável, por si ou através dos seus membros, pela concessão de adiantamentos de indemnização por parte do Estado às vítimas de crimes violentos e de violência doméstica.
Esta função de administrar a relação formal entre o Estado e a vítima cuja sentença judicial é pagamaento de indemnização é feita pela C do Estado às vítimas de crimes violentos e de violência doméstica, que funciona junto do Ministério da Justiça.";;;;;;;;;;

